year,borough,complaints_norm,median_income
2020,Bronx,92589,41895
2020,Brooklyn,65545,63973
2020,Manhattan,80578,89812
2020,Queens,46942,72028
2020,Staten Island,4439,85381
2021,Bronx,"107351	",43011
2021,Brooklyn,"76928	",67567
2021,Manhattan,97104,84435
2021,Queens,57143,73262
2021,Staten Island,6297,86054
2022,Bronx,146873,43011
2022,Brooklyn,97091,67567
2022,Manhattan,131812,84435
2022,Queens,76684,73262
2022,Staten Island,8157,86054
