year,borough,zip,complaints,pop,complaints_norm,median_income,pct_below_poverty,pct_white,pct_black_or_african_american,pct_american_indian_or_alaska_native,pct_asian,pct_native_hawaiian_and_other_pacific_islande,pct_hispanic_or_latino
2020,MANHATTAN,10075,206,26121,788.6374947,102941,8.472049689,83.10831747,2.022929485,1.513877208,6.267982825,0.234606702,16.42246912
2020,MANHATTAN,10128,310,57993,534.5472729,117926,7.879318473,75.99020571,4.559170934,0.041384305,9.249392168,0,14.7224665
2020,MANHATTAN,10162,1,1240,80.64516129,96555,0,93.70967742,0,0,3.629032258,0,23.79032258
2020,MANHATTAN,10280,4,9372,42.68032437,170385,4.973474801,76.06700811,0.58685446,1.387110542,18.24583867,0,11.54502774
2020,MANHATTAN,10282,1,6086,16.43115347,250001,3.521408563,76.73348669,2.283930332,0,16.39829116,0,10.49950707
2020,STATEN ISLAND,10301,463,38001,1218.38899,70065,17.40633209,57.70111313,21.84153049,0.065787742,7.918212679,0.015789058,24.86250362
2020,STATEN ISLAND,10302,70,17942,390.1460261,72394,15.73052491,51.53829005,25.54899119,0.908482889,6.749526251,0.100323264,37.81629696
2020,STATEN ISLAND,10303,165,27164,607.4215874,70315,19.61130742,42.23972905,32.83021646,0.209836548,7.624061258,0,39.95361508
2020,STATEN ISLAND,10304,379,42133,899.532433,64394,19.46677385,51.79313127,28.31747087,0.099684333,9.643272494,0.066456222,22.64733107
2020,STATEN ISLAND,10305,105,42968,244.3679017,77136,10.53384485,68.58126978,6.723608267,0.137311488,17.23142804,0.037237014,14.34555949
2020,STATEN ISLAND,10306,116,54318,213.5572002,83309,10.43442956,79.2702235,3.450053389,0.230126293,8.645384587,0,17.42332192
2020,STATEN ISLAND,10307,15,15053,99.64791072,108808,5.623520126,91.90194646,0.112934299,0,4.590447087,0,8.89523683
2020,STATEN ISLAND,10308,14,28901,48.44123041,110478,4.616886286,91.27019826,1.602020691,0.083042109,5.356216048,0,9.31455659
2020,STATEN ISLAND,10309,23,33896,67.85461411,102730,10.38297872,93.69542129,0.590040123,0.377625679,2.377861695,0,8.756195421
2020,STATEN ISLAND,10310,98,24168,405.4948692,86895,14.76146578,57.16236346,22.99321417,0.537901357,6.214829527,0,30.82588547
2020,STATEN ISLAND,10312,42,61114,68.72402396,96785,7.362486379,88.13528815,0.965408908,0.160356056,6.854403246,0.073632883,12.03324934
2020,STATEN ISLAND,10314,163,89938,181.2359626,90306,9.600484648,70.92775023,3.669194334,0.331339367,18.25146212,0.031132558,15.20380707
2020,BRONX,10451,2124,49423,4297.594238,32598,33.75846557,16.31224329,40.79072497,0.607004836,1.298990349,0.841713372,58.27044089
2020,BRONX,10452,4424,74379,5947.915406,31351,37.36397957,14.90743355,32.12465884,0.623831996,1.437233628,0.293093481,69.85304992
2020,BRONX,10453,4187,78858,5309.543737,31778,36.38553337,11.39516599,32.56613153,0.692383778,2.243272718,0.308148824,68.92515661
2020,BRONX,10454,875,37807,2314.386225,23337,45.93678627,16.56836036,34.81894887,0.677123284,0.285661385,0.116380564,66.01687518
2020,BRONX,10455,1818,40300,4511.166253,29439,36.05153109,15.50124069,31.61042184,0.851116625,0.853598015,0.17617866,73.2382134
2020,BRONX,10456,3404,90479,3762.198963,31645,37.42885306,12.27798716,47.1943766,1.095281778,0.664242531,0.16136341,58.36050354
2020,BRONX,10457,6797,74679,9101.621607,32378,35.84021699,19.19147284,45.59380817,0.368242746,0.717738588,0.046867259,66.41090534
2020,BRONX,10458,4701,85893,5473.08861,37886,32.73297335,15.23057758,18.94217224,0.298045242,2.602074674,0.047733808,71.80329014
2020,BRONX,10459,1900,48391,3926.349941,31896,32.90538164,12.33907131,35.23382447,0.549688992,0.272777996,0.084726499,67.64480999
2020,BRONX,10460,2585,57514,4494.557847,28831,37.2303582,17.48269986,34.38119414,0.525089543,1.825642452,0.212122266,67.18885836
2020,BRONX,10461,1280,51081,2505.824083,60802,14.93567618,47.76531391,9.242183982,0.532487618,12.9069517,0.123333529,47.36203285
2020,BRONX,10462,4453,75441,5902.625893,57266,17.10085918,20.74601344,27.15499529,1.174427698,15.63208335,0.023859705,46.46942644
2020,BRONX,10463,2462,70236,3505.324905,60397,16.43947101,45.91092887,17.20627598,0.719004499,3.409932228,0.075459878,52.1570135
2020,BRONX,10464,47,4322,1087.459509,101935,6.189967983,70.12956964,0.485886164,0,1.827857473,0,36.81166127
2020,BRONX,10465,215,45066,477.0780633,74889,16.62945044,55.8114765,13.19620113,0.022189677,4.287045666,0.017751742,46.93782452
2020,BRONX,10466,1960,74519,2630.201694,58405,20.8524931,10.46847113,70.17941733,0.986325635,2.740240744,0.021471034,24.98825803
2020,BRONX,10467,5006,100867,4962.971041,40639,25.3334394,24.1783735,34.151903,0.546263892,5.468587348,0.068406912,52.22520745
2020,BRONX,10468,4723,78778,5995.328645,37777,30.38228629,15.24918124,24.49287872,1.146259108,1.991672802,0.168828861,77.79456193
2020,BRONX,10469,1094,72550,1507.925569,67190,15.92239797,16.83942109,56.97450034,0.107512061,6.463128877,0.006891799,28.05237767
2020,BRONX,10470,522,15500,3367.741935,64643,11.05643045,41.98709677,38.2516129,0.051612903,4.929032258,0,19.53548387
2020,BRONX,10471,307,22577,1359.790938,93657,8.354372275,66.09381229,9.810869469,0.239181468,5.611905922,0,25.06533198
2020,BRONX,10472,2279,67989,3352.012826,36038,31.74024571,11.62393917,25.71445381,1.350218418,8.798482107,0.064716351,63.11903396
2020,BRONX,10473,1411,59627,2366.377648,47856,24.18869644,29.06233753,37.86539655,0.667482852,1.730759555,0,62.27044795
2020,BRONX,10474,494,11579,4266.344244,28419,42.01369082,13.84402798,42.60298817,0.431816219,0.21590811,0,62.81198722
2020,BRONX,10475,77,43791,175.8352173,53819,11.66032274,14.33399557,63.56785641,0.904295403,2.468543765,0,29.96962846
2020,QUEENS,11001,1,26883,3.719822936,101634,3.423794801,63.62745837,5.45173687,0.546303971,21.42641851,0,13.57847939
2020,QUEENS,11004,12,15297,78.44675427,97845,8.423460899,32.67961038,4.915996601,0.40530823,47.60410538,0.294175328,12.09387462
2020,QUEENS,11040,1,40782,2.452062184,101434,4.121425294,48.60438793,0.876622595,0.688774896,39.49618284,0.168581268,13.0722732
2020,QUEENS,11101,323,32537,992.7159849,89525,16.26647047,40.95030273,13.73513231,0.553216338,26.52672342,0.039954513,21.83667824
2020,QUEENS,11102,407,28359,1435.170493,81462,13.63425926,58.03448641,7.708311294,0.705243485,16.46038295,0.133996262,25.6779153
2020,QUEENS,11103,481,35419,1358.028177,81677,9.868378812,66.50950055,2.947570513,0.25692425,14.27482425,0,24.13676275
2020,QUEENS,11104,584,25037,2332.547829,75772,9.20131194,59.47597556,1.677517274,0.459320206,24.61556896,0,27.84678676
2020,QUEENS,11105,355,37452,947.879953,86516,9.074243813,73.02947773,2.723486062,0.192246075,10.2878351,0,22.37263698
2020,QUEENS,11106,613,37094,1652.558365,71865,12.77172312,54.8525368,7.580740821,0.183318057,17.87081469,0.024262684,27.57319243
2020,QUEENS,11109,0,6127,0,169425,1.188332733,57.67912518,1.485229313,0,35.4822915,0,7.213970948
2020,BROOKLYN,11201,298,64798,459.8907374,139697,10.59052696,63.41708077,12.31056514,0.320997562,13.32448532,0.063273558,11.34911571
